Commune,Nombre de ventes,Prix moyen au m²,Nombre de VEFA,Densité par km²,Année,Salaire moyen
Echternach,19,6 749 ,31,278.43,2022,4654.01
Esch-sur-Alzette,272,7 657 ,13,2521.05,2022,4487.78
Ettelbruck,64,7 086 ,12,616.73,2022,4762.45
Frisange,20,8 348 ,4,260.39,2022,6642.36
Grevenmacher,28,7 994 ,3,304.73,2022,5503.67
Habscht,28,7 073 ,14,152.14,2022,6264.82
Hesperange,87,9 668 ,15,583.5,2022,8619.92
Junglinster,20,9 168 ,12,152.94,2022,8086.46
Käerjeng,52,7 554 ,22,320.02,2022,6020.06
Kayl,83,8 140 ,7,654.17,2022,4894.78
Kehlen,18,8 737 ,39,219.41,2022,8414.46
Larochette,18,7 058 ,0,142.73,2022,4510.61
Leudelange,10,9 807 ,0,199.71,2022,11765.48
Lintgen,27,8 421 ,2,222.82,2022,5904.53
Lorentzweiler,16,8 122 ,22,254.5,2022,7032.87
Mamer,29,9 034 ,32,380.28,2022,8938.98
Mersch,39,8 510 ,23,204.4,2022,5803.63
Mertert,29,8 478 ,75,312.39,2022,5414.79
Mondercange,26,8 351 ,7,325.42,2022,6893.72
Mondorf-les-Bains,40,8 774 ,0,397.95,2022,5995.92
Reckange-sur-Mess,11,8 522 ,50,131.24,2022,7558.68
Remich,23,7 970 ,7,723.06,2022,5394.05
Roeser,62,8 952 ,15,277.52,2022,7279.33
Rumelange,32,7 256 ,0,832.36,2022,4112.54
Sandweiler,24,8 665 ,3,480.21,2022,8973.61
Sanem,100,8 036 ,104,735.01,2022,5262.62
Schengen,21,7 010 ,0,162.0,2022,5857.73
Schifflange,81,8 651 ,6,1445.01,2022,4781.3
Schuttrange,11,8 725 ,2,268.2,2022,10628.68
Steinfort,24,8 210 ,29,473.19,2022,6886.18
Strassen,60,10 896 ,0,963.59,2022,10267.45
Troisvierges,10,5 087 ,0,91.52,2022,4432.91
Bertrange,27,9 625 ,4,498.45,2023,10179.37
Bettembourg,25,7 907 ,0,531.5,2023,6266.13
Bissen,11,7 510 ,1,166.27,2023,5835.47
Clervaux,22,6 196 ,3,70.79,2023,4875.23
Contern,19,8 180 ,10,212.85,2023,9907.47
Diekirch,32,7 438 ,5,587.36,2023,5056.34
Differdange,166,7 100 ,8,1331.65,2023,4366.82
Dippach,14,8 179 ,0,266.07,2023,7353.24
Dudelange,82,7 059 ,1,1026.8,2023,5513.83
Echternach,24,5 775 ,6,286.48,2023,4907.36
Erpeldange-sur-Sûre,10,6 887 ,1,135.17,2023,6099.15
Esch-sur-Alzette,145,6 923 ,4,2552.26,2023,4812.41
Ettelbruck,46,7 087 ,0,638.21,2023,5112.25
Frisange,15,8 055 ,3,266.52,2023,7144.16
Grevenmacher,19,7 541 ,2,308.98,2023,5969.48
Helperknapp,13,7 996 ,0,131.37,2023,6550.45
Hesperange,64,8 956 ,5,603.71,2023,9089.34
Junglinster,17,8 390 ,2,155.69,2023,9011.64
Käerjeng,31,6 794 ,0,327.15,2023,6354.66
Kayl,43,7 463 ,5,663.86,2023,5240.93
Kopstal,11,9 236 ,0,542.53,2023,11457.89
Lintgen,16,8 111 ,0,225.31,2023,6663.63
Lorentzweiler,12,8 907 ,0,259.08,2023,7838.1
Mamer,31,8 830 ,4,386.46,2023,9598.21
Mersch,39,7 640 ,4,208.95,2023,6399.59
Mertert,15,7 721 ,2,335.54,2023,5891.27
Mondercange,23,7 639 ,1,332.66,2023,7515.93
Mondorf-les-Bains,15,8 094 ,14,397.07,2023,6207.78
Remich,17,7 738 ,0,758.98,2023,5664.4
Roeser,22,8 001 ,1,279.71,2023,8047.09
Rumelange,12,6 308 ,0,833.38,2023,4425.53
Sanem,60,7 469 ,7,750.74,2023,5773.05
Schengen,12,6 887 ,0,165.37,2023,6167.49
Schifflange,64,7 970 ,0,1473.8,2023,5138.07
Steinfort,19,8 742 ,3,482.81,2023,7148.27
Steinsel,11,8 537 ,13,253.97,2023,9524.26
Strassen,49,10 513 ,15,983.94,2023,10628.87
